Inter-rater Agreeement from BIOTOP - Syntax
Question;Evaluator1;Evaluator2;Evaluator3;Evaluator4;Evaluator5;Evaluator6;Evaluator7;Result;Frequency;
 Does a material object project onto an immaterial three dimensional physical entity?;good;good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;5
 Does a plurality of organisms have a granular part that is an organism?;very_good;good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;6
 Is an immaterial object a part of a material object?;very_good;good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;6
 Is a temporal region preceded by a process?;very_good;very_good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;7
 Is a material object included in universe?;very_good;good;very_good;average;good;very_good;very_good;VERY_GOOD;4
 Does a material object project onto only an immaterial three dimensional physical entity?;average;average;good;very_good;very_good;good;very_good;VERY_GOOD;3
 Does a process project onto some temporal region?;very_good;good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;6
 Does a collective process have a granular part that is some process?;very_good;good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;6
 Is a plurality of organisms a bearer of some taxon quality?;very_good;average;very_good;good;very_good;very_good;very_good;VERY_GOOD;5
 Is a taxon value region a projection of only a taxon quality?;very_good;average;very_good;good;very_good;average;very_good;VERY_GOOD;4
 Is a process preceded by only a temporal region?;very_good;very_good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;7
 True or false: A process quality inheres in a process.;very_good;good;very_bad;good;very_good;good;very_good;VERY_GOOD;3
 True or false: A collective process has a granular part that is a process.;very_good;good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;6
 True or false: An immaterial object is a part of a material object.;very_good;very_good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;7
 True or false: A temporal region is preceded by a process.;very_good;very_good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;7
 A taxon quality projects onto a taxon value region. True or false?;very_good;very_good;very_good;good;very_good;very_good;very_good;VERY_GOOD;6
 An immaterial object has a life that is life. True or false?;very_good;good;very_good;average;very_good;very_good;very_good;VERY_GOOD;5
 An immaterial three dimensional physical entity is a projection of a material object. True or false?;very_good;very_good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;7
 A process is preceded by a temporal region. True or false?;very_good;very_good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;7
 True or false: Life is a life of some particular.;good;very_good;bad;bad;very_good;average;very_good;VERY_GOOD;3
