Inter-rater Agreeement from AWO - Syntax
Question;Evaluator1;Evaluator2;Evaluator3;Evaluator4;Evaluator5;Evaluator6;Evaluator7;Result;Frequency;
 Does a carnivorous plant eat an animal?;very_good;very_good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;7
 Does an impala live on land?;very_good;very_good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;7
 Is phloem a proper part of a stem?;very_good;very_good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;7
 Does a lion eat only a herbivore?;very_good;average;very_good;good;average;very_good;good;VERY_GOOD;3
 Does a rock dassie live on only land?;very_good;bad;bad;good;very_good;good;good;GOOD;3
 Does a carnivorous plant eat some animal?;very_good;good;very_good;very_good;bad;very_good;very_good;VERY_GOOD;5
 Does a bumble bee participate in flying?;very_good;average;very_good;good;very_good;very_good;very_good;VERY_GOOD;5
 Is phloem a proper part of some stem?;very_good;very_good;very_good;very_good;bad;very_good;very_good;VERY_GOOD;6
 Does a bumble bee fly?;very_good;very_good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;7
 Are there any differences between a lion and a king of beasts?;very_good;very_good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;7
 Are there any differences between hole up and hibernate?;very_good;good;very_good;very_good;very_good;very_good;good;VERY_GOOD;5
 True or false: A carnivorous plant eats an animal.;very_good;very_good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;7
 True or false: An impala lives on land.;very_good;very_good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;7
 True or false: Phloem is a proper part of a stem.;very_good;good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;6
 A lion eats a herbivore. True or false?;very_good;very_good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;7
 An elephant lives on land. True or false?;very_good;very_good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;7
 Phloem is a proper part of a stem. True or false?;very_good;good;very_good;very_good;very_good;very_good;very_good;VERY_GOOD;6
 True or false: Phloem is a proper part of some stem.;very_good;good;very_good;very_good;bad;very_good;very_good;VERY_GOOD;5
 True or false: A lion eats only a herbivore.;very_good;average;very_good;good;very_good;very_good;very_good;VERY_GOOD;5
 True or false: A rock dassie lives on only land.;very_good;average;good;good;very_good;good;good;GOOD;4
 True or false: A carnivorous plant eats some animal.;very_good;average;very_good;very_good;good;very_good;very_good;VERY_GOOD;5
 True or false: A bumble bee participates in flying.;very_good;average;very_good;good;very_good;very_good;very_good;VERY_GOOD;5
 Phloem is a proper part of some stem. True or false?;very_good;very_good;very_good;very_good;good;very_good;very_good;VERY_GOOD;6
