 Does a carnivorous plant eat an animal?,very_good,very_good,very_good,VERY_GOOD,very_good,average,average,5,VERY_GOOD
 Does an impala live on land?,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,very_good,7,VERY_GOOD
 Is phloem a proper part of a stem?,very_good,very_good,very_good,VERY_GOOD,very_good,good,good,5,VERY_GOOD
 Does a lion eat only a herbivore?,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,bad,6,VERY_GOOD
 Does a rock dassie live on only land?,very_good,very_good,very_good,VERY_GOOD,good,average,bad,4,VERY_GOOD
 Does a carnivorous plant eat some animal?,very_good,very_good,very_good,GOOD,good,average,bad,3,VERY_GOOD
 Does a bumble bee participate in flying?,very_good,very_good,very_good,GOOD,good,bad,bad,3,VERY_GOOD
 Is phloem a proper part of some stem?,very_good,very_good,very_good,VERY_GOOD,very_good,good,good,5,VERY_GOOD
 Does a bumble bee fly?,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,very_good,7,VERY_GOOD
 Are there any differences between a lion and a king of beasts?,very_good,very_good,very_good,VERY_GOOD,very_good,average,bad,5,VERY_GOOD
 Are there any differences between hole up and hibernate?,very_good,very_good,very_good,VERY_GOOD,very_good,average,very_bad,5,VERY_GOOD
 True or false: A carnivorous plant eats an animal.,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,very_good,7,VERY_GOOD
 True or false: An impala lives on land.,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,very_good,7,VERY_GOOD
 True or false: Phloem is a proper part of a stem.,very_good,very_good,very_good,VERY_GOOD,very_good,good,good,5,VERY_GOOD
 A lion eats a herbivore. True or false?,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,very_good,7,VERY_GOOD
 An elephant lives on land. True or false?,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,very_good,7,VERY_GOOD
 Phloem is a proper part of a stem. True or false?,very_good,very_good,very_good,VERY_GOOD,very_good,good,good,5,VERY_GOOD
 True or false: Phloem is a proper part of some stem.,very_good,very_good,very_good,VERY_GOOD,very_good,good,good,5,VERY_GOOD
 True or false: A lion eats only a herbivore.,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,average,6,VERY_GOOD
 True or false: A rock dassie lives on only land.,very_good,very_good,very_good,VERY_GOOD,very_good,average,average,5,VERY_GOOD
 True or false: A carnivorous plant eats some animal.,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,good,6,VERY_GOOD
 True or false: A bumble bee participates in flying.,very_good,very_good,very_good,GOOD,good,average,bad,3,VERY_GOOD
 Phloem is a proper part of some stem. True or false?,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,good,6,VERY_GOOD
 A lion eats only a herbivore. True or false?,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,good,6,VERY_GOOD
 A rock dassie lives on only land. True or false?,very_good,very_good,very_good,VERY_GOOD,very_good,good,average,5,VERY_GOOD
 A carnivorous plant eats some animal. True or false?,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,good,6,VERY_GOOD
 A bumble bee participates in flying. True or false?,very_good,very_good,very_good,VERY_GOOD,good,good,good,4,VERY_GOOD
 Which carnivore eats a herbivore?,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,very_good,7,VERY_GOOD
 Which carnivore lives on land?,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,very_good,7,VERY_GOOD
 Which plant parts is a proper part of a stem?,very_good,very_good,very_good,VERY_GOOD,very_good,good,average,5,VERY_GOOD
 Which endurant is a proper part of some plant?,very_good,very_good,very_good,AVERAGE,average,bad,bad,3,VERY_GOOD
 Which carnivore eats only a herbivore?,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,good,6,VERY_GOOD
 Which carnivore lives on only land?,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,average,6,VERY_GOOD
 Which carnivore eats some impala?,very_good,very_good,very_good,VERY_GOOD,very_good,average,bad,5,VERY_GOOD
 Which insect participates in flying?,very_good,very_good,very_good,GOOD,good,good,bad,3,VERY_GOOD-GOOD
 Define a palmtree.,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,very_good,7,VERY_GOOD
 What is an animal?,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,very_good,7,VERY_GOOD
 Define holing up.,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,very_good,7,VERY_GOOD
 What is looping?,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,very_good,7,VERY_GOOD
 Does a mixed stuff have a part stuff that is a stuff?,good,average,average,BAD,very_bad,very_bad,very_bad,3,VERY_BAD
 Does a stuff stuff state?,bad,bad,bad,VERY_BAD,very_bad,very_bad,very_bad,4,VERY_BAD
 True or false: A heterogeneous mixture has a stuff distribution that is an uneven distribution.,very_good,very_good,very_good,VERY_GOOD,very_good,average,bad,5,VERY_GOOD
 A mixed stuff has a part stuff that is a stuff. True or false?,very_good,good,average,VERY_BAD,very_bad,very_bad,very_bad,4,VERY_BAD
 True or false: A stuff has a state that is only a stuff state.,very_good,very_good,very_good,BAD,very_bad,very_bad,very_bad,3,VERY_GOOD-VERY_BAD
 A stuff has a state that is only a stuff state. True or false?,very_good,very_good,good,BAD,bad,very_bad,very_bad,2,VERY_GOOD-BAD-VERY_BAD
 Which mixed stuff has a stuff distribution that is an even distribution?,very_good,very_good,very_good,GOOD,average,very_bad,very_bad,3,VERY_GOOD
 Which physical endurant has a state that is only a stuff state?,very_good,very_good,good,AVERAGE,bad,very_bad,very_bad,2,VERY_GOOD-VERY_BAD
 Define a gel.,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,very_good,7,VERY_GOOD
 What is a physical object?,very_good,very_good,very_good,VERY_GOOD,very_good,very_good,very_good,7,VERY_GOOD
 Define being a solid.,very_good,very_good,very_good,VERY_GOOD,very_good,average,bad,5,VERY_GOOD
 What is being a liquid?,very_good,very_good,very_good,VERY_GOOD,very_good,good,bad,5,VERY_GOOD
 Does a material object project onto an immaterial three dimensional physical entity?,very_good,very_good,very_good,GOOD,average,average,bad,3,VERY_GOOD
 Does a plurality of organisms have a granular part that is an organism?,very_good,very_good,very_good,GOOD,good,bad,very_bad,3,VERY_GOOD
 Is an immaterial object a part of a material object?,very_good,very_good,very_good,VERY_GOOD,good,average,bad,4,VERY_GOOD
 Is a temporal region preceded by a process?,very_good,very_good,very_good,GOOD,good,good,bad,3,VERY_GOOD-GOOD
 Is a material object included in universe?,very_good,very_good,very_good,VERY_GOOD,good,good,good,4,VERY_GOOD
 Does a material object project onto only an immaterial three dimensional physical entity?,very_good,very_good,good,GOOD,good,average,average,3,GOOD
 Does a process project onto some temporal region?,very_good,very_good,very_good,GOOD,average,bad,bad,3,VERY_GOOD
 Does a collective process have a granular part that is some process?,very_good,very_good,very_good,VERY_GOOD,very_good,good,average,5,VERY_GOOD
 Is a plurality of organisms a bearer of some taxon quality?,very_good,very_good,very_good,GOOD,good,bad,very_bad,3,VERY_GOOD
 Is a taxon value region a projection of only a taxon quality?,very_good,very_good,good,AVERAGE,bad,bad,very_bad,2,VERY_GOOD-BAD
 Is a process preceded by only a temporal region?,very_good,very_good,good,GOOD,average,bad,very_bad,2,VERY_GOOD-GOOD
 True or false: A process quality inheres in a process.,very_good,average,average,BAD,very_bad,very_bad,very_bad,3,VERY_BAD
 True or false: A collective process has a granular part that is a process.,very_good,very_good,very_good,VERY_GOOD,very_good,average,very_bad,5,VERY_GOOD
 True or false: An immaterial object is a part of a material object.,very_good,very_good,very_good,VERY_GOOD,very_good,good,very_bad,5,VERY_GOOD
 True or false: A temporal region is preceded by a process.,very_good,very_good,good,GOOD,good,good,very_bad,4,GOOD
 A taxon quality projects onto a taxon value region. True or false?,very_good,very_good,very_good,VERY_GOOD,good,bad,very_bad,4,VERY_GOOD
 An immaterial object has a life that is life. True or false?,very_good,average,average,AVERAGE,average,bad,very_bad,4,AVERAGE
 An immaterial three dimensional physical entity is a projection of a material object. True or false?,very_good,very_good,very_good,VERY_GOOD,good,average,very_bad,4,VERY_GOOD
 A process is preceded by a temporal region. True or false?,very_good,very_good,very_good,VERY_GOOD,very_good,bad,very_bad,5,VERY_GOOD
 True or false: Life is a life of some particular.,very_good,average,average,BAD,bad,bad,very_bad,3,BAD
 True or false: A condition is a condition of only a situation.,very_good,very_good,average,AVERAGE,bad,bad,very_bad,2,VERY_GOOD-AVERAGE-BAD
 True or false: A temporal region is preceded by only a process.,very_good,very_good,good,GOOD,average,average,very_bad,2,VERY_GOOD-GOOD-AVERAGE
 True or false: A taxon quality projects onto only a taxon value region.,very_good,very_good,good,GOOD,average,bad,very_bad,2,VERY_GOOD-GOOD
 True or false: A collective process has a granular part that is only a process.,very_good,very_good,very_good,VERY_GOOD,good,bad,very_bad,4,VERY_GOOD
 True or false: A process projects onto some temporal region.,very_good,very_good,very_good,VERY_GOOD,average,bad,very_bad,4,VERY_GOOD
