 Does a carnivorous plant eat an animal?;A=5;B=0;C=2;D=0;E=0;4.42857142857143;[VERY_GOOD-AVERAGE];VERY_GOOD
 Does an impala live on land?;A=7;B=0;C=0;D=0;E=0;5;[VERY_GOOD-VERY_GOOD];VERY_GOOD
 Is phloem a proper part of a stem?;A=5;B=2;C=0;D=0;E=0;4.71428571428571;[VERY_GOOD-GOOD];VERY_GOOD
 Does a lion eat only a herbivore?;A=6;B=0;C=0;D=1;E=0;4.57142857142857;[VERY_GOOD-BAD];VERY_GOOD
 Does a rock dassie live on only land?;A=4;B=1;C=1;D=1;E=0;4.14285714285714;[VERY_GOOD-BAD];VERY_GOOD
 Does a carnivorous plant eat some animal?;A=3;B=2;C=1;D=1;E=0;4;[VERY_GOOD-BAD];GOOD
 Does a bumble bee participate in flying?;A=3;B=2;C=0;D=2;E=0;3.85714285714286;[VERY_GOOD-BAD];GOOD
 Is phloem a proper part of some stem?;A=5;B=2;C=0;D=0;E=0;4.71428571428571;[VERY_GOOD-GOOD];VERY_GOOD
 Does a bumble bee fly?;A=7;B=0;C=0;D=0;E=0;5;[VERY_GOOD-VERY_GOOD];VERY_GOOD
 Are there any differences between a lion and a king of beasts?;A=5;B=0;C=1;D=1;E=0;4.28571428571429;[VERY_GOOD-BAD];VERY_GOOD
 Are there any differences between hole up and hibernate?;A=5;B=0;C=1;D=0;E=1;4.14285714285714;[VERY_GOOD-VERY_BAD];VERY_GOOD
 True or false: A carnivorous plant eats an animal.;A=7;B=0;C=0;D=0;E=0;5;[VERY_GOOD-VERY_GOOD];VERY_GOOD
 True or false: An impala lives on land.;A=7;B=0;C=0;D=0;E=0;5;[VERY_GOOD-VERY_GOOD];VERY_GOOD
 True or false: Phloem is a proper part of a stem.;A=5;B=2;C=0;D=0;E=0;4.71428571428571;[VERY_GOOD-GOOD];VERY_GOOD
 A lion eats a herbivore. True or false?;A=7;B=0;C=0;D=0;E=0;5;[VERY_GOOD-VERY_GOOD];VERY_GOOD
 An elephant lives on land. True or false?;A=7;B=0;C=0;D=0;E=0;5;[VERY_GOOD-VERY_GOOD];VERY_GOOD
 Phloem is a proper part of a stem. True or false?;A=5;B=2;C=0;D=0;E=0;4.71428571428571;[VERY_GOOD-GOOD];VERY_GOOD
 True or false: Phloem is a proper part of some stem.;A=5;B=2;C=0;D=0;E=0;4.71428571428571;[VERY_GOOD-GOOD];VERY_GOOD
 True or false: A lion eats only a herbivore.;A=6;B=0;C=1;D=0;E=0;4.71428571428571;[VERY_GOOD-AVERAGE];VERY_GOOD
 True or false: A rock dassie lives on only land.;A=5;B=0;C=2;D=0;E=0;4.42857142857143;[VERY_GOOD-AVERAGE];VERY_GOOD
 True or false: A carnivorous plant eats some animal.;A=6;B=1;C=0;D=0;E=0;4.85714285714286;[VERY_GOOD-GOOD];VERY_GOOD
 True or false: A bumble bee participates in flying.;A=3;B=2;C=1;D=1;E=0;4;[VERY_GOOD-BAD];GOOD
 Phloem is a proper part of some stem. True or false?;A=6;B=1;C=0;D=0;E=0;4.85714285714286;[VERY_GOOD-GOOD];VERY_GOOD
 A lion eats only a herbivore. True or false?;A=6;B=1;C=0;D=0;E=0;4.85714285714286;[VERY_GOOD-GOOD];VERY_GOOD
 A rock dassie lives on only land. True or false?;A=5;B=1;C=1;D=0;E=0;4.57142857142857;[VERY_GOOD-AVERAGE];VERY_GOOD
 A carnivorous plant eats some animal. True or false?;A=6;B=1;C=0;D=0;E=0;4.85714285714286;[VERY_GOOD-GOOD];VERY_GOOD
 A bumble bee participates in flying. True or false?;A=4;B=3;C=0;D=0;E=0;4.57142857142857;[VERY_GOOD-GOOD];VERY_GOOD
 Which carnivore eats a herbivore?;A=7;B=0;C=0;D=0;E=0;5;[VERY_GOOD-VERY_GOOD];VERY_GOOD
 Which carnivore lives on land?;A=7;B=0;C=0;D=0;E=0;5;[VERY_GOOD-VERY_GOOD];VERY_GOOD
 Which plant parts is a proper part of a stem?;A=5;B=1;C=1;D=0;E=0;4.57142857142857;[VERY_GOOD-AVERAGE];VERY_GOOD
 Which endurant is a proper part of some plant?;A=3;B=0;C=2;D=2;E=0;3.57142857142857;[VERY_GOOD-BAD];AVERAGE
 Which carnivore eats only a herbivore?;A=6;B=1;C=0;D=0;E=0;4.85714285714286;[VERY_GOOD-GOOD];VERY_GOOD
 Which carnivore lives on only land?;A=6;B=0;C=1;D=0;E=0;4.71428571428571;[VERY_GOOD-AVERAGE];VERY_GOOD
 Which carnivore eats some impala?;A=5;B=0;C=1;D=1;E=0;4.28571428571429;[VERY_GOOD-BAD];VERY_GOOD
 Which insect participates in flying?;A=3;B=3;C=0;D=1;E=0;4.14285714285714;[VERY_GOOD-BAD];GOOD
 Define a palmtree.;A=7;B=0;C=0;D=0;E=0;5;[VERY_GOOD-VERY_GOOD];VERY_GOOD
 What is an animal?;A=7;B=0;C=0;D=0;E=0;5;[VERY_GOOD-VERY_GOOD];VERY_GOOD
 Define holing up.;A=7;B=0;C=0;D=0;E=0;5;[VERY_GOOD-VERY_GOOD];VERY_GOOD
 What is looping?;A=7;B=0;C=0;D=0;E=0;5;[VERY_GOOD-VERY_GOOD];VERY_GOOD
 Does a mixed stuff have a part stuff that is a stuff?;A=0;B=1;C=2;D=1;E=3;2.14285714285714;[GOOD-VERY_BAD];BAD
 Does a stuff stuff state?;A=0;B=0;C=0;D=3;E=4;1.42857142857143;[BAD-VERY_BAD];VERY_BAD
 True or false: A heterogeneous mixture has a stuff distribution that is an uneven distribution.;A=5;B=0;C=1;D=1;E=0;4.28571428571429;[VERY_GOOD-BAD];VERY_GOOD
 A mixed stuff has a part stuff that is a stuff. True or false?;A=1;B=1;C=1;D=0;E=4;2.28571428571429;[VERY_GOOD-VERY_BAD];VERY_BAD
 True or false: A stuff has a state that is only a stuff state.;A=3;B=0;C=0;D=1;E=3;2.85714285714286;[VERY_GOOD-VERY_BAD];BAD
 A stuff has a state that is only a stuff state. True or false?;A=2;B=1;C=0;D=2;E=2;2.85714285714286;[VERY_GOOD-VERY_BAD];BAD
